time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
time,dt,Fs_vertical_av,L2FsVertDiffusion,L2FsVertFluid,L2FsVertFrame,L1FsVertDiffusion,L1FsVertFluid,L1FsVertFrame,L0FsVertDiffusion,L0FsVertFluid,L0FsVertFrame,Fs_top,Fs_bottom,Fs_sponge,Fh_bottom,Fh_top,dUdt,dSdt,dTdt,chimneySpacing,chimneyWidth,horizontallyAveragedSalinity_0,horizontallyAveragedSalinity_20,horizontallyAveragedSalinity_40,horizontallyAveragedSalinity_60,averageLiquidSalinity,mushyLayerDepth,Nusselt,Fh_abs_mismatch,Fs_abs_mismatch,Fh_rel_mismatch,Fs_rel_mismatch,LambdaMax,LambdaSum,maxVel
0.0001168051655,7.840258277e-06,-0.0003188017685,0.0161614137,3.91041159e-13,0,0.002314343583,1.185949701e-13,0,0.1276712505,1.706037695e-12,0,-0.2146227259,0,nan,0,119.2348477,78.73261057,0.2049830884,18.66876943,nan,nan,-1,-1,-1,-1,-0.9999989299,0.046875,nan,-2.528449685e-06,4.551212351e-09,-0.002839945749,-0.00283994757,1.665334537e-14,3.686662476e-15,1.733724275e-12
0.0001246454238,8.232271191e-06,-0.000343069565,0.01630390374,2.940041093e-13,0,0.002352758397,8.704120846e-14,0,0.1285699063,1.534763457e-12,0,-0.2133272661,0,nan,0,118.5151479,118.1393745,0.203786058,18.55975027,nan,nan,-1,-1,-1,-1,-0.9999987634,0.046875,nan,-2.822905564e-06,5.081229589e-09,-0.003038030415,-0.00303803016,1.754152379e-14,3.656263794e-15,1.534772309e-12
0.000132877695,8.64388475e-06,-0.0003686041756,0.01645481915,4.09634428e-13,0,0.002393061849,1.078220877e-13,0,0.1295074912,2.668428149e-12,0,-0.2119492477,0,nan,0,117.7495821,152.073298,0.2025130016,18.44380707,nan,nan,-1,-1,-1,-1,-0.9999985754,0.046875,nan,-3.152977882e-06,5.675360055e-09,-0.003252684057,-0.003252683982,2.353672812e-14,4.797531374e-15,2.671640686e-12
0.0001415215798,9.076078988e-06,-0.0003954687952,0.0166146277,5.027851532e-13,0,0.002435334497,1.503960638e-13,0,0.1304850179,2.472688675e-12,0,-0.210482804,0,nan,0,116.9348911,251.009015,0.2011585252,18.32044856,nan,nan,-1,-1,-1,-1,-0.9999983636,0.046875,nan,-3.523091158e-06,6.341564273e-09,-0.003485545828,-0.003485545931,2.020605905e-14,4.501689978e-15,2.47268872e-12
0.0001505976587,9.529882937e-06,-0.0004237285987,0.01678381034,2.978274246e-13,0,0.002479657501,8.378655918e-14,0,0.1315034008,1.899261634e-12,0,-0.2089216389,0,nan,0,116.0675771,154.2448417,0.1997168366,18.18914723,nan,nan,-1,-1,-1,-1,-0.9999981252,0.046875,nan,-3.938209062e-06,7.088773728e-09,-0.003738432826,-0.003738431464,2.24265051e-14,5.208147208e-15,1.904254532e-12
0.0001601275417,1.000637708e-05,-0.000453450471,0.01696285837,2.736654849e-13,0,0.002526111926,8.08238111e-14,0,0.1325634269,1.307385036e-12,0,-0.2072590059,0,nan,0,115.1438922,122.4905087,0.1981817243,18.04933737,nan,nan,-1,-1,-1,-1,-0.9999978572,0.046875,nan,-4.403889017e-06,7.927002635e-09,-0.004013357932,-0.004013359149,2.309263891e-14,5.235578231e-15,1.335820343e-12
0.0001701339188,1.050669594e-05,-0.0004847026356,0.01715226952,5.897390426e-13,0,0.002574777857,1.823591841e-13,0,0.1336657221,2.529538881e-12,0,-0.205487691,0,nan,0,114.1598283,138.213928,0.1965465397,17.90041345,nan,nan,-1,-1,-1,-1,-0.9999975565,0.046875,nan,-4.926337722e-06,8.867408476e-09,-0.004312548669,-0.004312548949,2.886579864e-14,6.027299151e-15,2.557953849e-12
0.0001806406147,1.103203074e-05,-0.0005175541543,0.01735254291,4.969543587e-13,0,0.002625733305,1.379322646e-13,0,0.1348107123,2.708518643e-12,0,-0.2035999995,0,nan,0,113.1111108,135.2552201,0.1948041821,17.74172879,nan,nan,-1,-1,-1,-1,-0.9999972192,0.046875,nan,-5.512464549e-06,9.922435739e-09,-0.004638466004,-0.004638465794,3.330669074e-14,7.163123389e-15,2.756905815e-12
0.0001916726454,1.158363227e-05,-0.0005520742731,0.01756417281,2.639000423e-13,0,0.002679052856,7.97855056e-14,0,0.1359985767,1.572155937e-12,0,-0.2015877517,0,nan,0,111.9931954,158.3344838,0.1929470907,17.57259478,nan,nan,-1,-1,-1,-1,-0.9999968414,0.046875,nan,-6.169930069e-06,1.110587441e-08,-0.004993822968,-0.004993823097,3.730349363e-14,8.170705942e-15,1.620037438e-12
0.0002032562777,1.216281389e-05,-0.0005883315787,0.01778764058,2.413746925e-13,0,0.002734806034,7.727151936e-14,0,0.1372291964,1.193711695e-12,0,-0.1994422881,0,nan,0,110.8012712,68.27752445,0.1909672448,17.39228095,nan,nan,-1,-1,-1,-1,-0.9999964186,0.046875,nan,-6.907184218e-06,1.243293e-08,-0.005381601477,-0.005381600787,4.152234112e-14,9.126827149e-15,1.193711796e-12
